system:index,WARD_NAME,WARD_NO,date,mean
9_0000000000000000007f,Ramamurthy Nagar,26,01-04-2010,109.9821656
9_00000000000000000080,Horamavu,25,01-04-2010,107.3954222
9_00000000000000000081,Marathahalli,86,01-04-2010,94.30561606
9_00000000000000000082,Hemmigepura,198,01-04-2010,113.2202412
9_00000000000000000083,Chowdeswari Ward,2,01-04-2010,114.8464161
9_00000000000000000084,Atturu,3,01-04-2010,109.0084517
9_00000000000000000085,Yelahanka Satellite Town,4,01-04-2010,101.8389904
9_00000000000000000087,Basavanapura,53,01-04-2010,93.07276634
9_00000000000000000088,Hudi,54,01-04-2010,102.8519368
9_00000000000000000089,Devasandra,55,01-04-2010,100.5216581
9_0000000000000000008a,A Narayanapura,56,01-04-2010,89.76576097
9_0000000000000000008b,Vijnana Nagar,81,01-04-2010,92.94267455
9_0000000000000000008c,HAL Airport,87,01-04-2010,95.48311153
9_0000000000000000008d,Dodda Bommasandra,10,01-04-2010,109.7820454
9_0000000000000000008e,Kuvempu Nagar,11,01-04-2010,122.7344386
9_0000000000000000008f,Jakkuru,5,01-04-2010,104.580705
9_00000000000000000090,Thanisandra,6,01-04-2010,90.26828921
9_00000000000000000091,Byatarayanapura,7,01-04-2010,98.49037762
9_00000000000000000092,Kodigehalli,8,01-04-2010,108.9665634
9_00000000000000000093,Vidyaranyapura,9,01-04-2010,107.0573519
9_00000000000000000094,Ullalu,130,01-04-2010,111.0740851
9_00000000000000000095,Kengeri,159,01-04-2010,111.1554474
9_00000000000000000096,Dodda Bidarakallu,40,01-04-2010,110.4890359
9_00000000000000000097,Herohalli,72,01-04-2010,116.2136409
9_00000000000000000098,Jalahalli,16,01-04-2010,121.3135967
9_00000000000000000099,Rajarajeshwari Nagar,160,01-04-2010,108.697536
9_0000000000000000009a,J P Park,17,01-04-2010,105.5272041
9_0000000000000000009c,HMT Ward,38,01-04-2010,93.18126949
9_0000000000000000009e,Laggere,69,01-04-2010,85.37495853
9_0000000000000000009f,Kottegepalya,73,01-04-2010,101.3008872
9_000000000000000000a0,Shettihalli,12,01-04-2010,113.2071275
9_000000000000000000a1,Mallasandra,13,01-04-2010,108.1777238
9_000000000000000000a2,Bagalakunte,14,01-04-2010,104.7244831
9_000000000000000000a3,T Dasarahalli,15,01-04-2010,89.875
9_000000000000000000a4,Chokkasandra,39,01-04-2010,99.87071514
9_000000000000000000a5,Peenya Industrial Area,41,01-04-2010,116.6060667
9_000000000000000000a6,Rajagopal Nagar,70,01-04-2010,78.17116831
9_000000000000000000a7,Hegganahalli,71,01-04-2010,86.15917159
9_000000000000000000a8,Vrisabhavathi Nagar,102,01-04-2010,98.625
9_000000000000000000af,Aramane Nagara,35,01-04-2010,138.6301814
9_000000000000000000b2,Rajamahal Guttahalli,64,01-04-2010,99.37884869
9_000000000000000000b6,Radhakrishna Temple Ward,18,01-04-2010,124.1105492
9_000000000000000000b7,Sanjaya Nagar,19,01-04-2010,108.8623463
9_000000000000000000b8,Ganga Nagar,20,01-04-2010,100.1111111
10_00000000000000000000,HBR Layout,24,01-07-2010,196.6647597
10_00000000000000000006,Maruthi Seva Nagar,59,01-07-2010,174.0057771
10_00000000000000000007,Konena Agrahara,113,01-07-2010,195.6555581
10_00000000000000000008,Benniganahalli,50,01-07-2010,175.5107815
10_00000000000000000009,C V Raman Nagar,57,01-07-2010,185.963665
10_0000000000000000000a,New Tippasandara,58,01-07-2010,198.703834
10_0000000000000000000b,Sarvagna Nagar,79,01-07-2010,183.7580564
10_0000000000000000000c,Hoysala Nagar,80,01-07-2010,197.0425048
10_0000000000000000000d,Jeevanbhima Nagar,88,01-07-2010,211.0442195
10_00000000000000000016,Domlur,112,01-07-2010,201.3788396
10_00000000000000000017,Agaram,114,01-07-2010,190.4430354
10_00000000000000000018,Vannarpet,115,01-07-2010,197.9471513
10_0000000000000000002a,Kaveripura,103,01-07-2010,207.2154843
10_00000000000000000030,Mudalapalya,127,01-07-2010,207.3004753
10_00000000000000000031,Nagarabhavi,128,01-07-2010,221.3353122
10_00000000000000000032,Nayandahalli,131,01-07-2010,210.8022572
10_0000000000000000003a,Deepanjali Nagar,158,01-07-2010,210.5
10_0000000000000000004f,Hosakerehalli,161,01-07-2010,207
10_00000000000000000058,Ejipura,148,01-07-2010,204.2220792
10_00000000000000000059,Koramangala,151,01-07-2010,197.2746701
10_0000000000000000005b,Sarakki,178,01-07-2010,196.8191933
10_0000000000000000005c,Jakkasandra,173,01-07-2010,170.2914021
10_0000000000000000005d,BTM Layout,176,01-07-2010,182.7509693
10_00000000000000000061,Varthuru,149,01-07-2010,179.3585819
10_00000000000000000062,Bellanduru,150,01-07-2010,179.9258509
10_00000000000000000063,Garudachar Playa,82,01-07-2010,184.6570771
10_00000000000000000064,Kadugodi,83,01-07-2010,175.8270576
10_00000000000000000065,Hagadur,84,01-07-2010,178.8778115
10_00000000000000000066,Dodda Nekkundi,85,01-07-2010,181.7873354
10_00000000000000000067,HSR Layout,174,01-07-2010,176.7488584
10_00000000000000000068,Bommanahalli,175,01-07-2010,177.8994767
10_00000000000000000069,Jaraganahalli,186,01-07-2010,203.6433691
10_0000000000000000006a,Puttenahalli,187,01-07-2010,198.9369651
10_0000000000000000006b,Bilekhalli,188,01-07-2010,184.7268932
10_0000000000000000006c,Hongasandra,189,01-07-2010,183.0849438
10_0000000000000000006d,Mangammanapalya,190,01-07-2010,176.4149549
10_0000000000000000006e,Singasandra,191,01-07-2010,189.3110927
10_0000000000000000006f,Arakere,193,01-07-2010,196.2430615
10_00000000000000000070,Uttarahalli,184,01-07-2010,215.8363986
10_00000000000000000072,Begur,192,01-07-2010,191.8894401
10_00000000000000000073,Gottigere,194,01-07-2010,220.2453607
10_00000000000000000074,Konankunte,195,01-07-2010,189.3266904
10_00000000000000000075,Anjanapura,196,01-07-2010,229.7488493
10_00000000000000000076,Kempegowda Ward,1,01-07-2010,190.9329204
10_00000000000000000077,K R Puram,52,01-07-2010,184.7572783
10_00000000000000000078,Jnana Bharathi ward,129,01-07-2010,213.0591448
10_0000000000000000007c,Vasanthpura,197,01-07-2010,202.7686452
10_0000000000000000007d,J P Nagar,177,01-07-2010,186.573521
10_0000000000000000007f,Ramamurthy Nagar,26,01-07-2010,193.9107447
10_00000000000000000080,Horamavu,25,01-07-2010,207.5997652
10_00000000000000000081,Marathahalli,86,01-07-2010,181.1963618
10_00000000000000000082,Hemmigepura,198,01-07-2010,217.691426
10_00000000000000000083,Chowdeswari Ward,2,01-07-2010,203.7374732
10_00000000000000000084,Atturu,3,01-07-2010,213.2549681
10_00000000000000000085,Yelahanka Satellite Town,4,01-07-2010,199.8472856
10_00000000000000000087,Basavanapura,53,01-07-2010,190.8630039
10_00000000000000000088,Hudi,54,01-07-2010,189.2547246
10_00000000000000000089,Devasandra,55,01-07-2010,188.0695012
10_0000000000000000008a,A Narayanapura,56,01-07-2010,170.8232936
10_0000000000000000008b,Vijnana Nagar,81,01-07-2010,188.0435842
10_0000000000000000008c,HAL Airport,87,01-07-2010,185.8898415
10_0000000000000000008d,Dodda Bommasandra,10,01-07-2010,192.883529
10_0000000000000000008e,Kuvempu Nagar,11,01-07-2010,207.6498782
10_0000000000000000008f,Jakkuru,5,01-07-2010,194.7820913
10_00000000000000000090,Thanisandra,6,01-07-2010,202.5195611
10_00000000000000000091,Byatarayanapura,7,01-07-2010,192.8819988
10_00000000000000000092,Kodigehalli,8,01-07-2010,197.3974561
10_00000000000000000093,Vidyaranyapura,9,01-07-2010,205.8568493
10_00000000000000000094,Ullalu,130,01-07-2010,206.6713451
10_00000000000000000095,Kengeri,159,01-07-2010,201.6811116
10_00000000000000000096,Dodda Bidarakallu,40,01-07-2010,220.8867209
10_00000000000000000097,Herohalli,72,01-07-2010,203.2933325
10_00000000000000000098,Jalahalli,16,01-07-2010,203.0397044
10_00000000000000000099,Rajarajeshwari Nagar,160,01-07-2010,211.9573504
10_0000000000000000009a,J P Park,17,01-07-2010,192.743302
10_0000000000000000009c,HMT Ward,38,01-07-2010,191.6692276
10_0000000000000000009e,Laggere,69,01-07-2010,226.1803491
10_0000000000000000009f,Kottegepalya,73,01-07-2010,204.4341119
10_000000000000000000a0,Shettihalli,12,01-07-2010,210.4925423
10_000000000000000000a1,Mallasandra,13,01-07-2010,187.8450486
10_000000000000000000a2,Bagalakunte,14,01-07-2010,212.0916717
10_000000000000000000a3,T Dasarahalli,15,01-07-2010,213
10_000000000000000000a4,Chokkasandra,39,01-07-2010,216.0815713
10_000000000000000000a5,Peenya Industrial Area,41,01-07-2010,220.4382974
10_000000000000000000a6,Rajagopal Nagar,70,01-07-2010,189.7730625
10_000000000000000000a7,Hegganahalli,71,01-07-2010,199.2627159
10_000000000000000000a8,Vrisabhavathi Nagar,102,01-07-2010,196.75
10_000000000000000000af,Aramane Nagara,35,01-07-2010,218.5598178
10_000000000000000000b2,Rajamahal Guttahalli,64,01-07-2010,198.2537124
10_000000000000000000b6,Radhakrishna Temple Ward,18,01-07-2010,243.9848279
10_000000000000000000b7,Sanjaya Nagar,19,01-07-2010,188.3678126
10_000000000000000000b8,Ganga Nagar,20,01-07-2010,192
11_00000000000000000000,HBR Layout,24,01-10-2010,151.0550429
11_00000000000000000006,Maruthi Seva Nagar,59,01-10-2010,165.1407441
11_00000000000000000007,Konena Agrahara,113,01-10-2010,155.9058387
11_00000000000000000008,Benniganahalli,50,01-10-2010,164.9910809
11_00000000000000000009,C V Raman Nagar,57,01-10-2010,156.4961284
11_0000000000000000000a,New Tippasandara,58,01-10-2010,159.5445167
11_0000000000000000000b,Sarvagna Nagar,79,01-10-2010,173.2629873
11_0000000000000000000c,Hoysala Nagar,80,01-10-2010,163.9476662
11_0000000000000000000d,Jeevanbhima Nagar,88,01-10-2010,163.4897173
11_00000000000000000016,Domlur,112,01-10-2010,156.3849694
11_00000000000000000017,Agaram,114,01-10-2010,157.1709688
11_00000000000000000018,Vannarpet,115,01-10-2010,163.1753755
11_0000000000000000002a,Kaveripura,103,01-10-2010,157.9002961
11_00000000000000000030,Mudalapalya,127,01-10-2010,155.1576396
11_00000000000000000031,Nagarabhavi,128,01-10-2010,171.3917613
11_00000000000000000032,Nayandahalli,131,01-10-2010,152.0728414
11_0000000000000000003a,Deepanjali Nagar,158,01-10-2010,152.6
11_0000000000000000004f,Hosakerehalli,161,01-10-2010,135
11_00000000000000000058,Ejipura,148,01-10-2010,153.2133237
11_00000000000000000059,Koramangala,151,01-10-2010,158.6347331
11_0000000000000000005b,Sarakki,178,01-10-2010,144.023432
11_0000000000000000005c,Jakkasandra,173,01-10-2010,147.7785146
11_0000000000000000005d,BTM Layout,176,01-10-2010,143.2667958
11_00000000000000000061,Varthuru,149,01-10-2010,163.6776226
11_00000000000000000062,Bellanduru,150,01-10-2010,154.242624
11_00000000000000000063,Garudachar Playa,82,01-10-2010,154.1422946
11_00000000000000000064,Kadugodi,83,01-10-2010,154.0458085
11_00000000000000000065,Hagadur,84,01-10-2010,160.4530365
11_00000000000000000066,Dodda Nekkundi,85,01-10-2010,151.0760884
11_00000000000000000067,HSR Layout,174,01-10-2010,152.7348697
11_00000000000000000068,Bommanahalli,175,01-10-2010,134.3538646
11_00000000000000000069,Jaraganahalli,186,01-10-2010,141.1357629
11_0000000000000000006a,Puttenahalli,187,01-10-2010,138.4133054
11_0000000000000000006b,Bilekhalli,188,01-10-2010,141.0339488
11_0000000000000000006c,Hongasandra,189,01-10-2010,133.4960344
11_0000000000000000006d,Mangammanapalya,190,01-10-2010,142.0187304
11_0000000000000000006e,Singasandra,191,01-10-2010,145.9409833
11_0000000000000000006f,Arakere,193,01-10-2010,140.7531494
11_00000000000000000070,Uttarahalli,184,01-10-2010,156.1892789
11_00000000000000000072,Begur,192,01-10-2010,141.2240583
11_00000000000000000073,Gottigere,194,01-10-2010,140.6845636
11_00000000000000000074,Konankunte,195,01-10-2010,140.3424998
11_00000000000000000075,Anjanapura,196,01-10-2010,145.3884259
11_00000000000000000076,Kempegowda Ward,1,01-10-2010,165.2660131
11_00000000000000000077,K R Puram,52,01-10-2010,157.7586824
11_00000000000000000078,Jnana Bharathi ward,129,01-10-2010,164.4522984
11_0000000000000000007c,Vasanthpura,197,01-10-2010,150.8238248
11_0000000000000000007d,J P Nagar,177,01-10-2010,136.9861294
11_0000000000000000007f,Ramamurthy Nagar,26,01-10-2010,163.5551912
11_00000000000000000080,Horamavu,25,01-10-2010,167.1791154
11_00000000000000000081,Marathahalli,86,01-10-2010,166.2146067
11_00000000000000000082,Hemmigepura,198,01-10-2010,158.1348972
11_00000000000000000083,Chowdeswari Ward,2,01-10-2010,157.7019305
11_00000000000000000084,Atturu,3,01-10-2010,154.5740297
11_00000000000000000085,Yelahanka Satellite Town,4,01-10-2010,151.5901146
11_00000000000000000087,Basavanapura,53,01-10-2010,161.5486756
11_00000000000000000088,Hudi,54,01-10-2010,162.3618772
11_00000000000000000089,Devasandra,55,01-10-2010,154.529985
11_0000000000000000008a,A Narayanapura,56,01-10-2010,137.1323988
11_0000000000000000008b,Vijnana Nagar,81,01-10-2010,153.341241
11_0000000000000000008c,HAL Airport,87,01-10-2010,167.8225283
11_0000000000000000008d,Dodda Bommasandra,10,01-10-2010,154.3422578
11_0000000000000000008e,Kuvempu Nagar,11,01-10-2010,152.7788082
11_0000000000000000008f,Jakkuru,5,01-10-2010,159.4067656
11_00000000000000000090,Thanisandra,6,01-10-2010,149.9598747
11_00000000000000000091,Byatarayanapura,7,01-10-2010,156.5755008
11_00000000000000000092,Kodigehalli,8,01-10-2010,156.0848482
11_00000000000000000093,Vidyaranyapura,9,01-10-2010,145.6071422
11_00000000000000000094,Ullalu,130,01-10-2010,161.8343269
11_00000000000000000095,Kengeri,159,01-10-2010,148.8133382
11_00000000000000000096,Dodda Bidarakallu,40,01-10-2010,161.7963161
11_00000000000000000097,Herohalli,72,01-10-2010,163.7405656
11_00000000000000000098,Jalahalli,16,01-10-2010,173.4017309
11_00000000000000000099,Rajarajeshwari Nagar,160,01-10-2010,155.6783893
11_0000000000000000009a,J P Park,17,01-10-2010,172.0289048
11_0000000000000000009c,HMT Ward,38,01-10-2010,158.154958
11_0000000000000000009e,Laggere,69,01-10-2010,150.8099381
11_0000000000000000009f,Kottegepalya,73,01-10-2010,159.7132399
11_000000000000000000a0,Shettihalli,12,01-10-2010,161.879478
11_000000000000000000a1,Mallasandra,13,01-10-2010,163.3889681
11_000000000000000000a2,Bagalakunte,14,01-10-2010,156.7323
11_000000000000000000a3,T Dasarahalli,15,01-10-2010,158.8333333
11_000000000000000000a4,Chokkasandra,39,01-10-2010,161.7318157
11_000000000000000000a5,Peenya Industrial Area,41,01-10-2010,172.9564775
11_000000000000000000a6,Rajagopal Nagar,70,01-10-2010,154.7975723
11_000000000000000000a7,Hegganahalli,71,01-10-2010,157.855018
11_000000000000000000a8,Vrisabhavathi Nagar,102,01-10-2010,164.8571429
11_000000000000000000af,Aramane Nagara,35,01-10-2010,172.8570436
11_000000000000000000b2,Rajamahal Guttahalli,64,01-10-2010,156.9089932
11_000000000000000000b6,Radhakrishna Temple Ward,18,01-10-2010,154.3353287
11_000000000000000000b7,Sanjaya Nagar,19,01-10-2010,158.2891721
11_000000000000000000b8,Ganga Nagar,20,01-10-2010,157.3333333
12_00000000000000000000,HBR Layout,24,01-01-2011,70.21465733
12_00000000000000000006,Maruthi Seva Nagar,59,01-01-2011,66.85119005
12_00000000000000000007,Konena Agrahara,113,01-01-2011,79.44656969
12_00000000000000000008,Benniganahalli,50,01-01-2011,67.34293204
12_00000000000000000009,C V Raman Nagar,57,01-01-2011,70.02846934
12_0000000000000000000a,New Tippasandara,58,01-01-2011,64.83508167
12_0000000000000000000b,Sarvagna Nagar,79,01-01-2011,67.52272972
12_0000000000000000000c,Hoysala Nagar,80,01-01-2011,67.36440942
12_0000000000000000000d,Jeevanbhima Nagar,88,01-01-2011,46.41156108
12_00000000000000000016,Domlur,112,01-01-2011,58.96990297
12_00000000000000000017,Agaram,114,01-01-2011,94.86732916
12_00000000000000000018,Vannarpet,115,01-01-2011,66.96380986
12_0000000000000000002a,Kaveripura,103,01-01-2011,54.85777832
12_00000000000000000030,Mudalapalya,127,01-01-2011,52.25237506
12_00000000000000000031,Nagarabhavi,128,01-01-2011,68.69430875
12_00000000000000000032,Nayandahalli,131,01-01-2011,64.00336445
12_0000000000000000003a,Deepanjali Nagar,158,01-01-2011,51
12_0000000000000000004f,Hosakerehalli,161,01-01-2011,53.91666667
12_00000000000000000058,Ejipura,148,01-01-2011,53.74960045
12_00000000000000000059,Koramangala,151,01-01-2011,63.99512927
12_0000000000000000005b,Sarakki,178,01-01-2011,54.76246672
12_0000000000000000005c,Jakkasandra,173,01-01-2011,54.99284871
12_0000000000000000005d,BTM Layout,176,01-01-2011,58.02300832
12_00000000000000000061,Varthuru,149,01-01-2011,87.77539143
12_00000000000000000062,Bellanduru,150,01-01-2011,66.58973109
12_00000000000000000063,Garudachar Playa,82,01-01-2011,57.03504894
12_00000000000000000064,Kadugodi,83,01-01-2011,73.12636118
12_00000000000000000065,Hagadur,84,01-01-2011,83.85975141
12_00000000000000000066,Dodda Nekkundi,85,01-01-2011,60.37239562
12_00000000000000000067,HSR Layout,174,01-01-2011,61.23353419
12_00000000000000000068,Bommanahalli,175,01-01-2011,53.65307957
12_00000000000000000069,Jaraganahalli,186,01-01-2011,67.48987847
12_0000000000000000006a,Puttenahalli,187,01-01-2011,51.22034038
12_0000000000000000006b,Bilekhalli,188,01-01-2011,58.54633337
12_0000000000000000006c,Hongasandra,189,01-01-2011,47.20778029
12_0000000000000000006d,Mangammanapalya,190,01-01-2011,54.02531129
12_0000000000000000006e,Singasandra,191,01-01-2011,59.6226338
12_0000000000000000006f,Arakere,193,01-01-2011,58.07230778
12_00000000000000000070,Uttarahalli,184,01-01-2011,69.64042973
12_00000000000000000072,Begur,192,01-01-2011,63.70299076
12_00000000000000000073,Gottigere,194,01-01-2011,64.52497515
12_00000000000000000074,Konankunte,195,01-01-2011,55.79852855
12_00000000000000000075,Anjanapura,196,01-01-2011,64.69855502
12_00000000000000000076,Kempegowda Ward,1,01-01-2011,65.41844039
12_00000000000000000077,K R Puram,52,01-01-2011,58.77592248
12_00000000000000000078,Jnana Bharathi ward,129,01-01-2011,66.75270785
12_0000000000000000007c,Vasanthpura,197,01-01-2011,60.37434773
12_0000000000000000007d,J P Nagar,177,01-01-2011,49.69528841
12_0000000000000000007f,Ramamurthy Nagar,26,01-01-2011,70.57029224
12_00000000000000000080,Horamavu,25,01-01-2011,66.78964667
12_00000000000000000081,Marathahalli,86,01-01-2011,63.7464441
12_00000000000000000082,Hemmigepura,198,01-01-2011,72.75449995
12_00000000000000000083,Chowdeswari Ward,2,01-01-2011,68.43559117
12_00000000000000000084,Atturu,3,01-01-2011,62.34758256
12_00000000000000000085,Yelahanka Satellite Town,4,01-01-2011,59.43201356
12_00000000000000000087,Basavanapura,53,01-01-2011,61.18462556
12_00000000000000000088,Hudi,54,01-01-2011,63.53546481
12_00000000000000000089,Devasandra,55,01-01-2011,61.99179416
12_0000000000000000008a,A Narayanapura,56,01-01-2011,52.38801066
12_0000000000000000008b,Vijnana Nagar,81,01-01-2011,60.2217675
12_0000000000000000008c,HAL Airport,87,01-01-2011,68.34213041
12_0000000000000000008d,Dodda Bommasandra,10,01-01-2011,69.73320582
12_0000000000000000008e,Kuvempu Nagar,11,01-01-2011,71.22794993
12_0000000000000000008f,Jakkuru,5,01-01-2011,56.39420049
12_00000000000000000090,Thanisandra,6,01-01-2011,51.0448306
12_00000000000000000091,Byatarayanapura,7,01-01-2011,57.32647293
12_00000000000000000092,Kodigehalli,8,01-01-2011,61.42876915
12_00000000000000000093,Vidyaranyapura,9,01-01-2011,61.9508662
12_00000000000000000094,Ullalu,130,01-01-2011,63.1689456
12_00000000000000000095,Kengeri,159,01-01-2011,63.9706113
12_00000000000000000096,Dodda Bidarakallu,40,01-01-2011,60.55392203
12_00000000000000000097,Herohalli,72,01-01-2011,62.11308396
12_00000000000000000098,Jalahalli,16,01-01-2011,68.38077079
12_00000000000000000099,Rajarajeshwari Nagar,160,01-01-2011,67.89121616
12_0000000000000000009a,J P Park,17,01-01-2011,59.24129545
12_0000000000000000009c,HMT Ward,38,01-01-2011,48.90668524
12_0000000000000000009e,Laggere,69,01-01-2011,40.20675234
12_0000000000000000009f,Kottegepalya,73,01-01-2011,54.95922807
12_000000000000000000a0,Shettihalli,12,01-01-2011,61.82747498
12_000000000000000000a1,Mallasandra,13,01-01-2011,58.01197175
12_000000000000000000a2,Bagalakunte,14,01-01-2011,59.82795268
12_000000000000000000a3,T Dasarahalli,15,01-01-2011,53.75
12_000000000000000000a4,Chokkasandra,39,01-01-2011,60.45129088
12_000000000000000000a5,Peenya Industrial Area,41,01-01-2011,59.43928675
12_000000000000000000a6,Rajagopal Nagar,70,01-01-2011,48.73669209
12_000000000000000000a7,Hegganahalli,71,01-01-2011,47.82541336
12_000000000000000000a8,Vrisabhavathi Nagar,102,01-01-2011,54.16666667
12_000000000000000000af,Aramane Nagara,35,01-01-2011,86.18355374
12_000000000000000000b2,Rajamahal Guttahalli,64,01-01-2011,64.816185
12_000000000000000000b6,Radhakrishna Temple Ward,18,01-01-2011,67.44969368
12_000000000000000000b7,Sanjaya Nagar,19,01-01-2011,62.41162822
12_000000000000000000b8,Ganga Nagar,20,01-01-2011,59.41666667
13_00000000000000000000,HBR Layout,24,01-04-2011,93.52990277
13_00000000000000000006,Maruthi Seva Nagar,59,01-04-2011,81.03977551
13_00000000000000000007,Konena Agrahara,113,01-04-2011,82.96361557
13_00000000000000000008,Benniganahalli,50,01-04-2011,80.50346607
13_00000000000000000009,C V Raman Nagar,57,01-04-2011,84.60593434
13_0000000000000000000a,New Tippasandara,58,01-04-2011,77.67950404
13_0000000000000000000b,Sarvagna Nagar,79,01-04-2011,82.85744242
13_0000000000000000000c,Hoysala Nagar,80,01-04-2011,82.35170103
13_0000000000000000000d,Jeevanbhima Nagar,88,01-04-2011,66.93848792
13_00000000000000000016,Domlur,112,01-04-2011,67.10134239
13_00000000000000000017,Agaram,114,01-04-2011,118.4221029
13_00000000000000000018,Vannarpet,115,01-04-2011,85.29109093
13_0000000000000000002a,Kaveripura,103,01-04-2011,53.82838236
13_00000000000000000030,Mudalapalya,127,01-04-2011,54.40644148
13_00000000000000000031,Nagarabhavi,128,01-04-2011,96.20307376
13_00000000000000000032,Nayandahalli,131,01-04-2011,86.7094547
13_0000000000000000003a,Deepanjali Nagar,158,01-04-2011,75.16666667
13_0000000000000000004f,Hosakerehalli,161,01-04-2011,65.25
13_00000000000000000058,Ejipura,148,01-04-2011,72.73246467
13_00000000000000000059,Koramangala,151,01-04-2011,81.2388198
13_0000000000000000005b,Sarakki,178,01-04-2011,70.69709325
13_0000000000000000005c,Jakkasandra,173,01-04-2011,63.08194803
13_0000000000000000005d,BTM Layout,176,01-04-2011,67.672222
13_00000000000000000061,Varthuru,149,01-04-2011,104.0562303
13_00000000000000000062,Bellanduru,150,01-04-2011,82.94458917
13_00000000000000000063,Garudachar Playa,82,01-04-2011,66.50517429
13_00000000000000000064,Kadugodi,83,01-04-2011,93.75560783
13_00000000000000000065,Hagadur,84,01-04-2011,101.861484
13_00000000000000000066,Dodda Nekkundi,85,01-04-2011,68.73142332
13_00000000000000000067,HSR Layout,174,01-04-2011,77.87059219
13_00000000000000000068,Bommanahalli,175,01-04-2011,49.5595797
13_00000000000000000069,Jaraganahalli,186,01-04-2011,71.59212193
13_0000000000000000006a,Puttenahalli,187,01-04-2011,63.86188231
13_0000000000000000006b,Bilekhalli,188,01-04-2011,62.46517818
13_0000000000000000006c,Hongasandra,189,01-04-2011,60.06943419
13_0000000000000000006d,Mangammanapalya,190,01-04-2011,65.24921184
13_0000000000000000006e,Singasandra,191,01-04-2011,75.17457226
13_0000000000000000006f,Arakere,193,01-04-2011,77.77565143
13_00000000000000000070,Uttarahalli,184,01-04-2011,81.90391396
13_00000000000000000072,Begur,192,01-04-2011,85.77145934
13_00000000000000000073,Gottigere,194,01-04-2011,81.09178147
13_00000000000000000074,Konankunte,195,01-04-2011,69.51891406
13_00000000000000000075,Anjanapura,196,01-04-2011,87.13641462
13_00000000000000000076,Kempegowda Ward,1,01-04-2011,82.56019855
13_00000000000000000077,K R Puram,52,01-04-2011,74.17743063
13_00000000000000000078,Jnana Bharathi ward,129,01-04-2011,83.20563323
13_0000000000000000007c,Vasanthpura,197,01-04-2011,70.05137143
13_0000000000000000007d,J P Nagar,177,01-04-2011,60.97175256
13_0000000000000000007f,Ramamurthy Nagar,26,01-04-2011,84.64003652
13_00000000000000000080,Horamavu,25,01-04-2011,85.28777705
13_00000000000000000081,Marathahalli,86,01-04-2011,73.47854468
13_00000000000000000082,Hemmigepura,198,01-04-2011,94.50143342
13_00000000000000000083,Chowdeswari Ward,2,01-04-2011,83.1292161
13_00000000000000000084,Atturu,3,01-04-2011,74.47664294
13_00000000000000000085,Yelahanka Satellite Town,4,01-04-2011,77.47566576
13_00000000000000000087,Basavanapura,53,01-04-2011,81.3066769
13_00000000000000000088,Hudi,54,01-04-2011,84.06473904
13_00000000000000000089,Devasandra,55,01-04-2011,80.44808092
13_0000000000000000008a,A Narayanapura,56,01-04-2011,65.15247091
13_0000000000000000008b,Vijnana Nagar,81,01-04-2011,71.46109063
13_0000000000000000008c,HAL Airport,87,01-04-2011,83.17694313
13_0000000000000000008d,Dodda Bommasandra,10,01-04-2011,84.16616159
13_0000000000000000008e,Kuvempu Nagar,11,01-04-2011,89.22399992
13_0000000000000000008f,Jakkuru,5,01-04-2011,76.61367129
13_00000000000000000090,Thanisandra,6,01-04-2011,72.55316127
13_00000000000000000091,Byatarayanapura,7,01-04-2011,74.43959156
13_00000000000000000092,Kodigehalli,8,01-04-2011,78.14184112
13_00000000000000000093,Vidyaranyapura,9,01-04-2011,75.91386594
13_00000000000000000094,Ullalu,130,01-04-2011,81.89019039
13_00000000000000000095,Kengeri,159,01-04-2011,89.23032005
13_00000000000000000096,Dodda Bidarakallu,40,01-04-2011,59.43667235
13_00000000000000000097,Herohalli,72,01-04-2011,78.18554779
13_00000000000000000098,Jalahalli,16,01-04-2011,87.26063663
13_00000000000000000099,Rajarajeshwari Nagar,160,01-04-2011,84.42433533
13_0000000000000000009a,J P Park,17,01-04-2011,62.79984726
13_0000000000000000009c,HMT Ward,38,01-04-2011,64.59823584
13_0000000000000000009e,Laggere,69,01-04-2011,51.9051358
13_0000000000000000009f,Kottegepalya,73,01-04-2011,64.56301663
13_000000000000000000a0,Shettihalli,12,01-04-2011,79.78642337
13_000000000000000000a1,Mallasandra,13,01-04-2011,69.44207664
13_000000000000000000a2,Bagalakunte,14,01-04-2011,67.43490993
13_000000000000000000a3,T Dasarahalli,15,01-04-2011,57.83333333
13_000000000000000000a4,Chokkasandra,39,01-04-2011,57.83782526
13_000000000000000000a5,Peenya Industrial Area,41,01-04-2011,56.58405902
13_000000000000000000a6,Rajagopal Nagar,70,01-04-2011,52.48869871
13_000000000000000000a7,Hegganahalli,71,01-04-2011,40.41980179
13_000000000000000000a8,Vrisabhavathi Nagar,102,01-04-2011,56.57142857
13_000000000000000000af,Aramane Nagara,35,01-04-2011,107.6688654
13_000000000000000000b2,Rajamahal Guttahalli,64,01-04-2011,91.25754568
13_000000000000000000b6,Radhakrishna Temple Ward,18,01-04-2011,94.14623341
13_000000000000000000b7,Sanjaya Nagar,19,01-04-2011,85.09238719
13_000000000000000000b8,Ganga Nagar,20,01-04-2011,84
14_00000000000000000000,HBR Layout,24,01-07-2011,191.9684259
14_00000000000000000006,Maruthi Seva Nagar,59,01-07-2011,168.6826773
14_00000000000000000007,Konena Agrahara,113,01-07-2011,150.6284872
