system:index,WARD_NAME,WARD_NO,date,mean
0_000000000000000000a5,Peenya Industrial Area,41,01-01-2008,90.57687517
0_000000000000000000a6,Rajagopal Nagar,70,01-01-2008,80.82143767
0_000000000000000000a7,Hegganahalli,71,01-01-2008,74.57167147
0_000000000000000000a8,Vrisabhavathi Nagar,102,01-01-2008,85.81818182
0_000000000000000000af,Aramane Nagara,35,01-01-2008,108.2620566
0_000000000000000000b2,Rajamahal Guttahalli,64,01-01-2008,88.66402726
0_000000000000000000b6,Radhakrishna Temple Ward,18,01-01-2008,94.67882974
0_000000000000000000b7,Sanjaya Nagar,19,01-01-2008,91.23433216
0_000000000000000000b8,Ganga Nagar,20,01-01-2008,87.72727273
1_00000000000000000000,HBR Layout,24,01-04-2008,107.0129393
1_00000000000000000006,Maruthi Seva Nagar,59,01-04-2008,109.9353436
1_00000000000000000007,Konena Agrahara,113,01-04-2008,91.30205288
1_00000000000000000008,Benniganahalli,50,01-04-2008,112.9820305
1_00000000000000000009,C V Raman Nagar,57,01-04-2008,107.5756881
1_0000000000000000000a,New Tippasandara,58,01-04-2008,100.0706254
1_0000000000000000000b,Sarvagna Nagar,79,01-04-2008,110.2358705
1_0000000000000000000c,Hoysala Nagar,80,01-04-2008,112.4358449
1_0000000000000000000d,Jeevanbhima Nagar,88,01-04-2008,79.49114777
1_00000000000000000016,Domlur,112,01-04-2008,81.51874005
1_00000000000000000017,Agaram,114,01-04-2008,152.3390844
1_00000000000000000018,Vannarpet,115,01-04-2008,88.91353755
1_0000000000000000002a,Kaveripura,103,01-04-2008,75.06436378
1_00000000000000000030,Mudalapalya,127,01-04-2008,61.736195
1_00000000000000000031,Nagarabhavi,128,01-04-2008,89.35347636
1_00000000000000000032,Nayandahalli,131,01-04-2008,84.82631786
1_0000000000000000003a,Deepanjali Nagar,158,01-04-2008,71.25
1_0000000000000000004f,Hosakerehalli,161,01-04-2008,61
1_00000000000000000058,Ejipura,148,01-04-2008,86.64377202
1_00000000000000000059,Koramangala,151,01-04-2008,95.57863393
1_0000000000000000005b,Sarakki,178,01-04-2008,75.24644497
1_0000000000000000005c,Jakkasandra,173,01-04-2008,89.96640016
1_0000000000000000005d,BTM Layout,176,01-04-2008,76.06498767
1_00000000000000000061,Varthuru,149,01-04-2008,125.4452526
1_00000000000000000062,Bellanduru,150,01-04-2008,113.4002297
1_00000000000000000063,Garudachar Playa,82,01-04-2008,86.6398823
1_00000000000000000064,Kadugodi,83,01-04-2008,110.1275553
1_00000000000000000065,Hagadur,84,01-04-2008,118.7192702
1_00000000000000000066,Dodda Nekkundi,85,01-04-2008,89.53353711
1_00000000000000000067,HSR Layout,174,01-04-2008,123.8372656
1_00000000000000000068,Bommanahalli,175,01-04-2008,89.96629235
