system:index,DISTRICT,ST_NM,date,mean
0_00000000000000000014,Anantnag,Jammu & Kashmir,01-01-2001,66.06934171
0_0000000000000000001f,Badgam,Jammu & Kashmir,01-01-2001,48.98789575
0_0000000000000000002c,Bandipore,Jammu & Kashmir,01-01-2001,81.43960028
0_00000000000000000034,Baramula,Jammu & Kashmir,01-01-2001,51.05850505
0_0000000000000000009f,Doda,Jammu & Kashmir,01-01-2001,44.27751139
0_000000000000000000bc,Ganderbal,Jammu & Kashmir,01-01-2001,95.47113728
0_0000000000000000011b,Kargil,Jammu & Kashmir,01-01-2001,102.5133415
0_00000000000000000121,Kathua,Jammu & Kashmir,01-01-2001,41.22517036
0_00000000000000000130,Kishtwar,Jammu & Kashmir,01-01-2001,73.89976603
0_00000000000000000144,Kulgam,Jammu & Kashmir,01-01-2001,46.37947421
0_00000000000000000146,Kupwara,Jammu & Kashmir,01-01-2001,54.80939419
0_00000000000000000152,Leh (ladakh),Jammu & Kashmir,01-01-2001,95.5411058
0_000000000000000001c1,Pulwama,Jammu & Kashmir,01-01-2001,54.09734473
0_000000000000000001c2,Punch,Jammu & Kashmir,01-01-2001,34.37987033
0_000000000000000001d0,Rajouri,Jammu & Kashmir,01-01-2001,29.30552204
0_000000000000000001d7,Ramban,Jammu & Kashmir,01-01-2001,41.25511453
0_000000000000000001df,Reasi,Jammu & Kashmir,01-01-2001,33.37074527
0_00000000000000000209,Shupiyan,Jammu & Kashmir,01-01-2001,46.67431759
0_00000000000000000226,Srinagar,Jammu & Kashmir,01-01-2001,66.77946052
0_00000000000000000248,Udhampur,Jammu & Kashmir,01-01-2001,32.55365915
0_000000000000000001f0,Samba,Jammu & Kashmir,01-01-2001,32.61629857
0_000000000000000000f8,Jammu,Jammu & Kashmir,01-01-2001,50.54793118
0_00000000000000000063,Chamba,Himachal Pradesh,01-01-2001,56.85927026
0_000000000000000000d7,Hamirpur,Himachal Pradesh,01-01-2001,32.49911542
0_00000000000000000111,Kangra,Himachal Pradesh,01-01-2001,41.2391957
0_0000000000000000012d,Kinnaur,Himachal Pradesh,01-01-2001,87.52382142
0_00000000000000000145,Kullu,Himachal Pradesh,01-01-2001,61.12024932
0_0000000000000000014b,Lahul & Spiti,Himachal Pradesh,01-01-2001,93.5655678
0_0000000000000000016a,Mandi,Himachal Pradesh,01-01-2001,42.02613307
0_00000000000000000205,Shimla,Himachal Pradesh,01-01-2001,44.7068486
0_00000000000000000211,Sirmaur,Himachal Pradesh,01-01-2001,39.4421296
0_00000000000000000218,Solan,Himachal Pradesh,01-01-2001,39.85486769
0_0000000000000000024e,Una,Himachal Pradesh,01-01-2001,39.61748815
0_00000000000000000056,Bilaspur,Himachal Pradesh,01-01-2001,33.29458255
0_0000000000000000016e,Mansa,Punjab,01-01-2001,173.1734395
0_00000000000000000039,Barnala,Punjab,01-01-2001,157.7987819
0_0000000000000000003e,Bathinda,Punjab,01-01-2001,154.0788294
0_000000000000000000e5,Hoshiarpur,Punjab,01-01-2001,76.96592806
0_0000000000000000017c,Muktsar,Punjab,01-01-2001,167.3551921
0_000000000000000001e6,Rupnagar,Punjab,01-01-2001,78.19800614
0_000000000000000000b3,Faridkot,Punjab,01-01-2001,153.2534298
0_000000000000000000b9,Firozpur,Punjab,01-01-2001,157.6589833
0_00000000000000000177,Moga,Punjab,01-01-2001,151.7371972
0_000000000000000001f3,Sangrur,Punjab,01-01-2001,165.5653298
0_000000000000000001ff,Shahid Bhagat Singh Nagar,Punjab,01-01-2001,87.67060146
0_000000000000000000b6,Fatehgarh Sahib,Punjab,01-01-2001,149.9818004
0_00000000000000000119,Kapurthala,Punjab,01-01-2001,126.3493877
0_000000000000000001b5,Patiala,Punjab,01-01-2001,146.711699
0_000000000000000000d3,Gurdaspur,Punjab,01-01-2001,121.2659993
0_000000000000000000f2,Jalandhar,Punjab,01-01-2001,113.0191303
0_00000000000000000159,Ludhiana,Punjab,01-01-2001,145.2672991
0_00000000000000000011,Amritsar,Punjab,01-01-2001,149.5320214
0_000000000000000001ec,Sahibzada Ajit Singh Nagar,Punjab,01-01-2001,77.00823599
0_0000000000000000022e,Tarn Taran,Punjab,01-01-2001,170.6239002
0_0000000000000000006a,Chandigarh,Chandigarh,01-01-2001,51.60045952
0_0000000000000000000b,Almora,Uttarakhand,01-01-2001,50.6077789
0_00000000000000000021,Bageshwar,Uttarakhand,01-01-2001,49.39600468
0_00000000000000000064,Chamoli,Uttarakhand,01-01-2001,60.78536127
0_00000000000000000065,Champawat,Uttarakhand,01-01-2001,67.48090418
0_0000000000000000008b,Dehradun,Uttarakhand,01-01-2001,53.66903445
0_000000000000000000c2,Garhwal,Uttarakhand,01-01-2001,48.27534437
0_000000000000000000dd,Hardwar,Uttarakhand,01-01-2001,50.46962377
0_00000000000000000189,Nainital,Uttarakhand,01-01-2001,65.57164728
0_000000000000000001bb,Pithoragarh,Uttarakhand,01-01-2001,59.13572615
0_000000000000000001e5,Rudraprayag,Uttarakhand,01-01-2001,52.10277756
0_00000000000000000230,Tehri Garhwal,Uttarakhand,01-01-2001,51.71368381
0_00000000000000000254,Uttarkashi,Uttarakhand,01-01-2001,57.85317392
0_00000000000000000249,Udham Singh Nagar,Uttarakhand,01-01-2001,70.91344939
0_000000000000000000b2,Faridabad,Haryana,01-01-2001,98.85361644
0_000000000000000000d4,Gurgaon,Haryana,01-01-2001,93.48844689
0_00000000000000000148,Kurukshetra,Haryana,01-01-2001,122.1363708
0_00000000000000000175,Mewat,Haryana,01-01-2001,76.41867556
0_0000000000000000004c,Bhiwani,Haryana,01-01-2001,76.92521287
0_00000000000000000213,Sirsa,Haryana,01-01-2001,118.9652066
0_000000000000000000e3,Hisar,Haryana,01-01-2001,116.1323823
0_00000000000000000100,Jhajjar,Haryana,01-01-2001,109.5521901
0_00000000000000000162,Mahendragarh,Haryana,01-01-2001,93.56505351
0_000000000000000001a9,Palwal,Haryana,01-01-2001,132.590617
0_000000000000000001ab,Panchkula,Haryana,01-01-2001,35.92120337
0_000000000000000001e3,Rohtak,Haryana,01-01-2001,110.3542766
0_0000000000000000021c,Sonipat,Haryana,01-01-2001,127.4803778
0_00000000000000000272,Jind,Haryana,01-01-2001,165.7840643
0_000000000000000000b5,Fatehabad,Haryana,01-01-2001,165.4051257
0_000000000000000001e1,Rewari,Haryana,01-01-2001,120.2007808
0_0000000000000000010b,Kaithal,Haryana,01-01-2001,159.6535274
0_00000000000000000271,Yamunanagar,Haryana,01-01-2001,70.99823515
0_0000000000000000000d,Ambala,Haryana,01-01-2001,88.13121593
0_0000000000000000011e,Karnal,Haryana,01-01-2001,156.7385322
0_000000000000000001ac,Panipat,Haryana,01-01-2001,139.6707869
0_000000000000000001a2,North West,NCT of Delhi,01-01-2001,89.21447742
0_0000000000000000021e,South,NCT of Delhi,01-01-2001,17.30824746
0_00000000000000000224,South West,NCT of Delhi,01-01-2001,72.35119413
0_0000000000000000019b,North,NCT of Delhi,01-01-2001,81.23463499
0_00000000000000000062,Central,NCT of Delhi,01-01-2001,16.84031378
0_000000000000000000a5,East,NCT of Delhi,01-01-2001,25.09810365
0_00000000000000000199,New Delhi,NCT of Delhi,01-01-2001,18.4926521
0_0000000000000000019f,North East,NCT of Delhi,01-01-2001,53.62634558
0_00000000000000000263,West,NCT of Delhi,01-01-2001,64.32241043
0_00000000000000000005,Ajmer,Rajasthan,01-01-2001,11.29412275
0_00000000000000000031,Banswara,Rajasthan,01-01-2001,15.57731906
0_00000000000000000035,Baran,Rajasthan,01-01-2001,38.53202575
0_00000000000000000038,Barmer,Rajasthan,01-01-2001,4.177788411
0_0000000000000000004a,Bhilwara,Rajasthan,01-01-2001,13.15962296
0_00000000000000000054,Bikaner,Rajasthan,01-01-2001,5.489336528
0_0000000000000000005e,Bundi,Rajasthan,01-01-2001,37.84166321
0_00000000000000000079,Churu,Rajasthan,01-01-2001,5.854129863
0_00000000000000000095,Dhaulpur,Rajasthan,01-01-2001,44.88193903
0_000000000000000000a2,Dungarpur,Rajasthan,01-01-2001,9.559437684
0_000000000000000000f0,Jaisalmer,Rajasthan,01-01-2001,3.75306029
0_000000000000000000f6,Jalor,Rajasthan,01-01-2001,10.90591963
0_00000000000000000105,Jodhpur,Rajasthan,01-01-2001,8.040641488
0_00000000000000000187,Nagaur,Rajasthan,01-01-2001,12.01517892
0_000000000000000001be,Pratapgarh,Rajasthan,01-01-2001,12.5684995
0_00000000000000000212,Sirohi,Rajasthan,01-01-2001,11.48600969
0_00000000000000000243,Tonk,Rajasthan,01-01-2001,21.45634519
0_00000000000000000246,Udaipur,Rajasthan,01-01-2001,10.66698439
0_00000000000000000274,Karauli,Rajasthan,01-01-2001,31.64021554
0_00000000000000000275,Sawai Madhopur,Rajasthan,01-01-2001,31.26091922
0_000000000000000001a8,Pali,Rajasthan,01-01-2001,11.02369528
0_0000000000000000000c,Alwar,Rajasthan,01-01-2001,67.97926228
0_00000000000000000047,Bharatpur,Rajasthan,01-01-2001,79.41664868
0_00000000000000000076,Chittaurgarh,Rajasthan,01-01-2001,16.88372156
0_000000000000000000be,Ganganagar,Rajasthan,01-01-2001,32.81458018
0_000000000000000000d9,Hanumangarh,Rajasthan,01-01-2001,36.9907368
0_00000000000000000101,Jhalawar,Rajasthan,01-01-2001,21.15921117
0_0000000000000000013f,Kota,Rajasthan,01-01-2001,46.37118035
0_000000000000000001d4,Rajsamand,Rajasthan,01-01-2001,8.125895562
0_00000000000000000273,Dausa,Rajasthan,01-01-2001,52.20735287
0_000000000000000000ef,Jaipur,Rajasthan,01-01-2001,31.28713502
0_00000000000000000104,Jhunjhunun,Rajasthan,01-01-2001,30.98127349
0_0000000000000000020d,Sikar,Rajasthan,01-01-2001,22.62303482
0_0000000000000000001b,Auraiya,Uttar Pradesh,01-01-2001,68.02761943
0_00000000000000000023,Bahraich,Uttar Pradesh,01-01-2001,45.18822638
0_00000000000000000029,Balrampur,Uttar Pradesh,01-01-2001,34.6916464
0_0000000000000000002b,Banda,Uttar Pradesh,01-01-2001,33.29423856
0_00000000000000000032,Bara Banki,Uttar Pradesh,01-01-2001,57.18172501
0_0000000000000000005b,Budaun,Uttar Pradesh,01-01-2001,67.57527527
0_00000000000000000068,Chandauli,Uttar Pradesh,01-01-2001,45.17439475
0_00000000000000000075,Chitrakoot,Uttar Pradesh,01-01-2001,28.04983989
0_000000000000000000af,Etah,Uttar Pradesh,01-01-2001,89.45193025
0_000000000000000000b7,Fatehpur,Uttar Pradesh,01-01-2001,55.96115171
0_000000000000000000d8,Hamirpur,Uttar Pradesh,01-01-2001,36.83539167
0_000000000000000000dc,Hardoi,Uttar Pradesh,01-01-2001,70.64300528
0_000000000000000000f3,Jalaun,Uttar Pradesh,01-01-2001,63.40992531
0_00000000000000000102,Jhansi,Uttar Pradesh,01-01-2001,45.05811544
0_00000000000000000113,Kannauj,Uttar Pradesh,01-01-2001,60.3871295
0_00000000000000000116,Kanpur Dehat,Uttar Pradesh,01-01-2001,65.0455311
0_00000000000000000118,Kansiram Nagar,Uttar Pradesh,01-01-2001,73.337795
0_0000000000000000012a,Kheri,Uttar Pradesh,01-01-2001,40.79013728
0_0000000000000000014e,Lalitpur,Uttar Pradesh,01-01-2001,34.03072745
0_0000000000000000015e,Maharajganj,Uttar Pradesh,01-01-2001,57.26145505
0_00000000000000000164,Mahoba,Uttar Pradesh,01-01-2001,32.51342216
0_00000000000000000165,Mainpuri,Uttar Pradesh,01-01-2001,67.69366613
0_00000000000000000176,Mirzapur,Uttar Pradesh,01-01-2001,33.29267139
0_000000000000000001ba,Pilibhit,Uttar Pradesh,01-01-2001,68.91556987
0_00000000000000000200,Shahjahanpur,Uttar Pradesh,01-01-2001,80.09107256
0_00000000000000000208,Shrawasti,Uttar Pradesh,01-01-2001,47.01254196
0_0000000000000000020b,Siddharth Nagar,Uttar Pradesh,01-01-2001,49.41662076
0_00000000000000000215,Sitapur,Uttar Pradesh,01-01-2001,43.21309529
0_0000000000000000021b,Sonbhadra,Uttar Pradesh,01-01-2001,25.75003555
0_0000000000000000024f,Unnao,Uttar Pradesh,01-01-2001,63.40407209
0_00000000000000000001,Agra,Uttar Pradesh,01-01-2001,82.33845956
0_00000000000000000008,Aligarh,Uttar Pradesh,01-01-2001,120.9414661
0_0000000000000000000a,Allahabad,Uttar Pradesh,01-01-2001,50.14421183
0_0000000000000000000e,Ambedkar Nagar,Uttar Pradesh,01-01-2001,62.35761445
0_0000000000000000001e,Azamgarh,Uttar Pradesh,01-01-2001,55.16972643
0_00000000000000000028,Ballia,Uttar Pradesh,01-01-2001,60.40720839
0_00000000000000000037,Bareilly,Uttar Pradesh,01-01-2001,60.61946874
0_0000000000000000003d,Basti,Uttar Pradesh,01-01-2001,50.73375921
0_00000000000000000053,Bijnor,Uttar Pradesh,01-01-2001,42.51959808
0_0000000000000000005c,Bulandshahr,Uttar Pradesh,01-01-2001,102.5360801
0_0000000000000000008d,Deoria,Uttar Pradesh,01-01-2001,65.4314028
0_000000000000000000b0,Etawah,Uttar Pradesh,01-01-2001,58.94792323
0_000000000000000000b1,Faizabad,Uttar Pradesh,01-01-2001,51.49207062
0_000000000000000000b4,Farrukhabad,Uttar Pradesh,01-01-2001,59.27508915
0_000000000000000000b8,Firozabad,Uttar Pradesh,01-01-2001,77.57013735
0_000000000000000000cb,Gonda,Uttar Pradesh,01-01-2001,50.91659693
0_000000000000000000ce,Gorakhpur,Uttar Pradesh,01-01-2001,72.59444512
0_000000000000000000df,Mahamaya Nagar,Uttar Pradesh,01-01-2001,107.4618853
0_000000000000000000fe,Jaunpur,Uttar Pradesh,01-01-2001,53.19462501
0_00000000000000000108,Jyotiba Phule Nagar,Uttar Pradesh,01-01-2001,63.20915951
0_00000000000000000117,Kanpur Nagar,Uttar Pradesh,01-01-2001,61.96881485
0_00000000000000000124,Kaushambi,Uttar Pradesh,01-01-2001,49.96422688
0_0000000000000000014a,Kushinagar,Uttar Pradesh,01-01-2001,50.69569419
0_00000000000000000170,Mathura,Uttar Pradesh,01-01-2001,129.1021911
0_0000000000000000017a,Moradabad,Uttar Pradesh,01-01-2001,69.50193163
0_000000000000000001bf,Pratapgarh,Uttar Pradesh,01-01-2001,49.78828138
0_000000000000000001ca,Rae Bareli,Uttar Pradesh,01-01-2001,50.75155604
0_000000000000000001d9,Rampur,Uttar Pradesh,01-01-2001,85.58039994
0_000000000000000001e9,Saharanpur,Uttar Pradesh,01-01-2001,70.10020855
0_000000000000000001f4,Sant Kabir Nagar,Uttar Pradesh,01-01-2001,63.36213545
0_00000000000000000227,Sultanpur,Uttar Pradesh,01-01-2001,46.56470781
0_00000000000000000022,Baghpat,Uttar Pradesh,01-01-2001,94.2339247
0_000000000000000000c6,Ghazipur,Uttar Pradesh,01-01-2001,61.8054308
0_00000000000000000158,Lucknow,Uttar Pradesh,01-01-2001,51.18583061
0_00000000000000000171,Mau,Uttar Pradesh,01-01-2001,63.86714478
0_00000000000000000181,Muzaffarnagar,Uttar Pradesh,01-01-2001,74.97050971
0_000000000000000000c3,Gautam Buddha Nagar,Uttar Pradesh,01-01-2001,111.572385
0_00000000000000000174,Meerut,Uttar Pradesh,01-01-2001,69.16192764
0_000000000000000001f5,Sant Ravi Das Nagar(bhadohi),Uttar Pradesh,01-01-2001,51.49308005
0_00000000000000000258,Varanasi,Uttar Pradesh,01-01-2001,56.28521431
0_000000000000000000c5,Ghaziabad,Uttar Pradesh,01-01-2001,76.85226875
0_00000000000000000018,Araria,Bihar,01-01-2001,46.03320901
0_0000000000000000001c,Aurangabad,Bihar,01-01-2001,33.61061218
0_0000000000000000002f,Banka,Bihar,01-01-2001,21.62675197
0_00000000000000000040,Begusarai,Bihar,01-01-2001,75.21105412
0_00000000000000000045,Bhagalpur,Bihar,01-01-2001,45.39825138
0_0000000000000000004d,Bhojpur,Bihar,01-01-2001,54.02370713
0_00000000000000000060,Buxar,Bihar,01-01-2001,57.92007646
0_00000000000000000084,Darbhanga,Bihar,01-01-2001,47.16248133
0_000000000000000000c4,Gaya,Bihar,01-01-2001,34.25199572
0_000000000000000000cd,Gopalganj,Bihar,01-01-2001,50.41217825
0_000000000000000000fb,Jamui,Bihar,01-01-2001,24.37379469
0_0000000000000000010a,Kaimur (bhabua),Bihar,01-01-2001,38.58642836
0_00000000000000000122,Katihar,Bihar,01-01-2001,46.99171279
0_00000000000000000127,Khagaria,Bihar,01-01-2001,78.74884995
0_0000000000000000012f,Kishanganj,Bihar,01-01-2001,22.53870273
0_0000000000000000014d,Lakhisarai,Bihar,01-01-2001,48.20441581
0_0000000000000000015b,Madhepura,Bihar,01-01-2001,55.51620182
0_0000000000000000015c,Madhubani,Bihar,01-01-2001,34.33880215
0_0000000000000000017f,Munger,Bihar,01-01-2001,38.23040659
0_00000000000000000182,Muzaffarpur,Bihar,01-01-2001,59.67828081
0_0000000000000000018a,Nalanda,Bihar,01-01-2001,56.59308285
0_00000000000000000195,Nawada,Bihar,01-01-2001,40.37574594
0_000000000000000001b0,Pashchim Champaran,Bihar,01-01-2001,34.27239714
0_000000000000000001b6,Patna,Bihar,01-01-2001,60.54295264
0_000000000000000001c4,Purba Champaran,Bihar,01-01-2001,48.84539518
0_000000000000000001c8,Purnia,Bihar,01-01-2001,48.19783501
0_000000000000000001e4,Rohtas,Bihar,01-01-2001,53.91860854
0_000000000000000001ea,Saharsa,Bihar,01-01-2001,49.41654787
0_000000000000000001ef,Samastipur,Bihar,01-01-2001,68.58398683
0_000000000000000001f7,Saran (chhapra),Bihar,01-01-2001,63.91240135
0_00000000000000000202,Sheikhpura,Bihar,01-01-2001,44.76572727
0_00000000000000000203,Sheohar,Bihar,01-01-2001,50.76604854
0_00000000000000000214,Sitamarhi,Bihar,01-01-2001,47.45963291
0_00000000000000000217,Siwan,Bihar,01-01-2001,58.95813098
0_00000000000000000229,Supaul,Bihar,01-01-2001,42.25100542
0_00000000000000000256,Vaishali,Bihar,01-01-2001,59.90836728
0_00000000000000000276,Arwal,Bihar,01-01-2001,52.78546581
0_00000000000000000277,Jehanabad,Bihar,01-01-2001,47.15346205
0_000000000000000000a6,East,Sikkim,01-01-2001,70.76682633
0_0000000000000000019c,North,Sikkim,01-01-2001,71.74136893
0_0000000000000000021f,South,Sikkim,01-01-2001,59.73304598
0_00000000000000000264,West,Sikkim,01-01-2001,64.49524671
0_00000000000000000015,Anjaw,Arunanchal Pradesh,01-01-2001,99.35602843
0_0000000000000000006c,Changlang,Arunanchal Pradesh,01-01-2001,159.0603894
0_0000000000000000009a,Dibang Valley,Arunanchal Pradesh,01-01-2001,88.65333927
0_000000000000000000a9,East Kameng,Arunanchal Pradesh,01-01-2001,128.38984
0_000000000000000000ac,East Siang,Arunanchal Pradesh,01-01-2001,144.0675464
0_00000000000000000149,Kurung Kumey,Arunanchal Pradesh,01-01-2001,99.67239513
0_00000000000000000154,Lohit,Arunanchal Pradesh,01-01-2001,148.175505
0_00000000000000000156,Lower Dibang Valley,Arunanchal Pradesh,01-01-2001,114.2955263
0_00000000000000000157,Lower Subansiri,Arunanchal Pradesh,01-01-2001,143.2846319
0_000000000000000001ae,Papum Pare,Arunanchal Pradesh,01-01-2001,156.4453018
0_0000000000000000022f,Tawang,Arunanchal Pradesh,01-01-2001,96.57259458
0_0000000000000000023e,Tirap,Arunanchal Pradesh,01-01-2001,170.8673715
0_00000000000000000250,Upper Siang,Arunanchal Pradesh,01-01-2001,101.872289
0_00000000000000000251,Upper Subansiri,Arunanchal Pradesh,01-01-2001,108.0290216
0_00000000000000000267,West Kameng,Arunanchal Pradesh,01-01-2001,117.1174187
0_0000000000000000026a,West Siang,Arunanchal Pradesh,01-01-2001,125.635705
0_000000000000000000a4,Dimapur,Nagaland,01-01-2001,131.4563689
0_0000000000000000012e,Kiphire,Nagaland,01-01-2001,157.567069
0_00000000000000000134,Kohima,Nagaland,01-01-2001,142.3508307
0_00000000000000000155,Longleng,Nagaland,01-01-2001,171.805657
0_00000000000000000178,Mokokchung,Nagaland,01-01-2001,178.0681741
0_00000000000000000179,Mon,Nagaland,01-01-2001,158.631553
0_000000000000000001b8,Peren,Nagaland,01-01-2001,209.3333021
0_000000000000000001b9,Phek,Nagaland,01-01-2001,162.1349868
0_00000000000000000244,Tuensang,Nagaland,01-01-2001,151.3255725
0_0000000000000000026c,Wokha,Nagaland,01-01-2001,169.3220262
0_0000000000000000026f,Zunheboto,Nagaland,01-01-2001,162.0541672
0_00000000000000000058,Bishnupur,Manipur,01-01-2001,52.30587882
0_00000000000000000069,Chandel,Manipur,01-01-2001,239.2722768
0_00000000000000000078,Churachandpur,Manipur,01-01-2001,235.1709103
0_000000000000000000ea,Imphal West,Manipur,01-01-2001,227.6523776
0_000000000000000001fb,Senapati,Manipur,01-01-2001,152.4882651
0_0000000000000000022d,Tamenglong,Manipur,01-01-2001,244.7376079
0_0000000000000000023a,Thoubal,Manipur,01-01-2001,56.62416981
0_0000000000000000024c,Ukhrul,Manipur,01-01-2001,211.1350112
0_000000000000000000e9,Imphal East,Manipur,01-01-2001,59.50755383
0_00000000000000000004,Aizawl,Mizoram,01-01-2001,261.2477214
0_00000000000000000066,Champhai,Mizoram,01-01-2001,243.9731974
0_00000000000000000137,Kolasib,Mizoram,01-01-2001,267.3292618
0_00000000000000000151,Lawangtlai,Mizoram,01-01-2001,232.5699114
0_0000000000000000015a,Lunglei,Mizoram,01-01-2001,273.4584466
0_00000000000000000169,Mamit,Mizoram,01-01-2001,276.1414812
0_000000000000000001ed,Saiha,Mizoram,01-01-2001,261.7789416
0_000000000000000001fd,Serchhip,Mizoram,01-01-2001,260.3938509
0_0000000000000000008f,Dhalai,Tripura,01-01-2001,156.9415591
0_000000000000000001a1,North Tripura,Tripura,01-01-2001,144.1518937
0_00000000000000000223,South Tripura,Tripura,01-01-2001,126.1133703
0_0000000000000000026b,West Tripura,Tripura,01-01-2001,93.43313542
0_000000000000000000a7,East Garo Hills,Meghalaya,01-01-2001,88.95586083
0_000000000000000000aa,East Khasi Hills,Meghalaya,01-01-2001,151.233989
0_000000000000000000ee,Jaintia Hills,Meghalaya,01-01-2001,148.9763023
0_000000000000000001e2,Ri Bhoi,Meghalaya,01-01-2001,116.8540244
0_00000000000000000221,South Garo Hills,Meghalaya,01-01-2001,140.0294701
0_00000000000000000265,West Garo Hills,Meghalaya,01-01-2001,70.09532366
0_00000000000000000268,West Khasi Hills,Meghalaya,01-01-2001,149.553021
0_00000000000000000024,Baksa,Assam,01-01-2001,68.8796132
0_0000000000000000003a,Barpeta,Assam,01-01-2001,43.11676414
0_0000000000000000005a,Bongaigaon,Assam,01-01-2001,43.68727964
0_00000000000000000061,Cachar,Assam,01-01-2001,160.2397911
0_00000000000000000073,Chirang,Assam,01-01-2001,69.05837219
0_00000000000000000086,Darrang,Assam,01-01-2001,47.71915464
0_00000000000000000096,Dhemaji,Assam,01-01-2001,59.80505813
0_00000000000000000098,Dhubri,Assam,01-01-2001,32.08322299
0_000000000000000000c8,Goalpara,Assam,01-01-2001,43.99507567
0_000000000000000000ca,Golaghat,Assam,01-01-2001,61.09863465
0_000000000000000000d6,Hailakandi,Assam,01-01-2001,139.7202063
0_00000000000000000106,Jorhat,Assam,01-01-2001,67.46114581
0_0000000000000000010d,Kamrup,Assam,01-01-2001,62.24917607
0_0000000000000000011a,Karbi Anglong,Assam,01-01-2001,157.8463018
0_0000000000000000011c,Karimganj,Assam,01-01-2001,103.9500527
0_00000000000000000135,Kokrajhar,Assam,01-01-2001,66.15699111
0_0000000000000000014c,Lakhimpur,Assam,01-01-2001,62.43752036
0_0000000000000000016f,Marigaon,Assam,01-01-2001,59.98329309
0_00000000000000000186,Nagaon,Assam,01-01-2001,68.84236715
0_0000000000000000018b,Nalbari,Assam,01-01-2001,47.83342744
0_0000000000000000019e,Dima Hasao,Assam,01-01-2001,199.8603115
0_0000000000000000021d,Sonitpur,Assam,01-01-2001,71.54112738
0_0000000000000000023d,Tinsukia,Assam,01-01-2001,93.37652545
0_00000000000000000247,Udalguri,Assam,01-01-2001,69.72699449
0_0000000000000000010e,Kamrup Metropolitan,Assam,01-01-2001,89.66675908
0_0000000000000000009b,Dibrugarh,Assam,01-01-2001,62.74059833
0_0000000000000000020a,Sivasagar,Assam,01-01-2001,67.85400437
0_00000000000000000030,Bankura,West Bengal,01-01-2001,32.91526639
0_00000000000000000080,Dakshin Dinajpur,West Bengal,01-01-2001,25.25445003
0_00000000000000000085,Darjiling,West Bengal,01-01-2001,77.45325696
0_000000000000000000f7,Jalpaiguri,West Bengal,01-01-2001,48.82398967
0_00000000000000000131,Koch Bihar,West Bengal,01-01-2001,28.49090164
0_00000000000000000167,Maldah,West Bengal,01-01-2001,43.50142029
0_0000000000000000019d,North 24 Parganas,West Bengal,01-01-2001,63.64721852
0_000000000000000001b1,Pashchim Medinipur,West Bengal,01-01-2001,53.61350512
0_000000000000000001c9,Puruliya,West Bengal,01-01-2001,23.99114042
0_00000000000000000220,South 24 Parganas,West Bengal,01-01-2001,54.94449155
0_00000000000000000252,Uttar Dinajpur,West Bengal,01-01-2001,33.45404709
0_000000000000000001c5,Purba Medinipur,West Bengal,01-01-2001,80.28437119
0_00000000000000000036,Barddhaman,West Bengal,01-01-2001,54.26458424
0_00000000000000000057,Birbhum,West Bengal,01-01-2001,28.25167773
0_00000000000000000180,Murshidabad,West Bengal,01-01-2001,48.6685751
0_00000000000000000185,Nadia,West Bengal,01-01-2001,60.66437094
0_000000000000000000da,Haora,West Bengal,01-01-2001,80.62771701
0_000000000000000000e6,Hugli,West Bengal,01-01-2001,73.59307811
0_00000000000000000139,Kolkata,West Bengal,01-01-2001,33.55648846
0_0000000000000000006d,Chatra,Jharkhand,01-01-2001,36.20492015
0_0000000000000000008c,Deoghar,Jharkhand,01-01-2001,17.67488222
0_000000000000000000a1,Dumka,Jharkhand,01-01-2001,21.44319224
0_000000000000000000c1,Garhwa,Jharkhand,01-01-2001,33.17661189
0_000000000000000000c7,Giridih,Jharkhand,01-01-2001,23.97137721
0_000000000000000000c9,Godda,Jharkhand,01-01-2001,23.34862413
0_000000000000000000d0,Gumla,Jharkhand,01-01-2001,30.24393257
0_000000000000000000e1,Hazaribagh,Jharkhand,01-01-2001,34.10374885
0_000000000000000000fa,Jamtara,Jharkhand,01-01-2001,20.11644223
0_0000000000000000012c,Khunti,Jharkhand,01-01-2001,30.13973452
0_00000000000000000133,Kodarma,Jharkhand,01-01-2001,31.25018854
0_0000000000000000014f,Latehar,Jharkhand,01-01-2001,40.96311636
0_00000000000000000153,Lohardaga,Jharkhand,01-01-2001,38.23680688
0_000000000000000001a5,Pakur,Jharkhand,01-01-2001,22.28978617
0_000000000000000001a7,Palamu,Jharkhand,01-01-2001,27.70138793
0_000000000000000001b2,Pashchimi Singhbhum,Jharkhand,01-01-2001,37.5063219
0_000000000000000001c6,Purbi Singhbhum,Jharkhand,01-01-2001,33.10614778
0_000000000000000001da,Ranchi,Jharkhand,01-01-2001,24.58094615
0_000000000000000001eb,Sahibganj,Jharkhand,01-01-2001,27.98175691
0_000000000000000001f6,Saraikela-kharsawan,Jharkhand,01-01-2001,27.39630979
0_0000000000000000020e,Simdega,Jharkhand,01-01-2001,31.41996162
0_00000000000000000059,Bokaro,Jharkhand,01-01-2001,22.61961315
0_000000000000000001d8,Ramgarh,Jharkhand,01-01-2001,22.90495096
0_00000000000000000091,Dhanbad,Jharkhand,01-01-2001,24.51901656
0_00000000000000000016,Anugul,Odisha,01-01-2001,46.69349578
0_00000000000000000026,Balangir,Odisha,01-01-2001,23.64497419
0_00000000000000000027,Baleshwar,Odisha,01-01-2001,50.14317662
0_00000000000000000033,Bargarh,Odisha,01-01-2001,26.19266245
0_0000000000000000003f,Bauda,Odisha,01-01-2001,36.75316968
